,0
195,arpu_2g_8
196,arpu_2g_9
197,night_pck_user_6
198,night_pck_user_7
199,night_pck_user_8
200,night_pck_user_9
201,monthly_2g_6
202,monthly_2g_7
203,monthly_2g_8
204,monthly_2g_9
205,sachet_2g_6
206,sachet_2g_7
207,sachet_2g_8
208,sachet_2g_9
209,monthly_3g_6
210,monthly_3g_7
211,monthly_3g_8
212,monthly_3g_9
213,sachet_3g_6
214,sachet_3g_7
215,sachet_3g_8
216,sachet_3g_9
217,fb_user_6
218,fb_user_7
219,fb_user_8
220,fb_user_9
221,aon
222,aug_vbc_3g
223,jul_vbc_3g
224,jun_vbc_3g
225,sep_vbc_3g
